id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
1,Raya,David,Raya Martín,1,GK,1,36.4,5.5,55
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,GK,1,0.4,4.5,45
3,Hein,Karl,Hein,1,GK,1,0.2,4.0,40
4,Setford,Tommy,Setford,1,GK,1,0.2,4.0,40
5,Gabriel,Gabriel,dos Santos Magalhães,2,DEF,1,45.4,6.0,60
6,Saliba,William,Saliba,2,DEF,1,17.1,6.0,60
7,Calafiori,Riccardo,Calafiori,2,DEF,1,6.0,5.5,55
8,J.Timber,Jurriën,Timber,2,DEF,1,15.2,5.5,55
9,Kiwior,Jakub,Kiwior,2,DEF,1,0.0,5.5,55
10,Lewis-Skelly,Myles,Lewis-Skelly,2,DEF,1,1.9,5.5,55
11,White,Benjamin,White,2,DEF,1,0.5,5.5,55
13,Clarke,Brayden,Clarke,2,DEF,1,0.5,4.0,40
14,Kacurri,Maldini,Kacurri,2,DEF,1,0.1,4.0,40
15,Nichols,Josh,Nichols,2,DEF,1,0.2,4.0,40
16,Saka,Bukayo,Saka,3,MID,1,11.6,10.0,100
17,Ødegaard,Martin,Ødegaard,3,MID,1,1.7,8.0,80
18,Madueke,Noni,Madueke,3,MID,1,0.8,7.0,70
19,Martinelli,Gabriel,Martinelli Silva,3,MID,1,0.9,7.0,70
20,Trossard,Leandro,Trossard,3,MID,1,1.8,7.0,70
21,Rice,Declan,Rice,3,MID,1,23.3,6.5,65
22,Merino,Mikel,Merino Zazón,3,MID,1,0.7,6.0,60
23,Fábio Vieira,Fábio,Ferreira Vieira,3,MID,1,0.0,5.5,55
24,Nørgaard,Christian,Nørgaard,3,MID,1,0.1,5.5,55
25,Nwaneri,Ethan,Nwaneri,3,MID,1,0.1,5.5,55
26,Zubimendi,Martín,Zubimendi Ibáñez,3,MID,1,2.7,5.5,55
28,Kabia,Ismeal,Kabia,3,MID,1,0.1,4.5,45
29,Sambi,Albert,Sambi Lokonga,3,MID,1,0.0,4.5,45
30,Havertz,Kai,Havertz,4,FWD,1,0.7,7.5,75
31,G.Jesus,Gabriel,Fernando de Jesus,4,FWD,1,0.4,6.5,65
266,Eze,Eberechi,Eze,3,MID,1,8.7,7.5,75
662,Mosquera,Cristhian,Mosquera,2,DEF,1,0.3,5.5,55
666,Gyökeres,Viktor,Gyökeres,4,FWD,1,16.4,9.0,90
700,Dowman,Max,Dowman,3,MID,1,0.9,4.5,45
711,Harriman-Annous,Andre,Harriman-Annous,3,MID,1,0.0,4.5,45
725,Hincapie,Piero,Hincapié,2,DEF,1,0.9,5.5,55
759,Salmon,Marli,Salmon,2,DEF,1,0.0,4.0,40
32,Martinez,Emiliano,Martínez Romero,1,GK,2,4.4,5.0,50
33,M.Bizot,Marco,Bizot,1,GK,2,0.4,4.5,45
34,Gauci,Joe,Gauci,1,GK,2,0.1,4.0,40
35,Marschall,Filip,Marschall,1,GK,2,0.0,4.0,40
36,Cash,Matty,Cash,2,DEF,2,7.4,4.5,45
37,Digne,Lucas,Digne,2,DEF,2,1.5,4.5,45
38,Konsa,Ezri,Konsa Ngoyo,2,DEF,2,7.0,4.5,45
39,Maatsen,Ian,Maatsen,2,DEF,2,0.5,4.5,45
40,Mings,Tyrone,Mings,2,DEF,2,0.6,4.5,45
41,Pau,Pau,Torres,2,DEF,2,0.3,4.5,45
42,A.García,Andrés,García,2,DEF,2,0.2,4.0,40
43,Alex Moreno,Álex,Moreno Lopera,2,DEF,2,1.5,4.0,40
44,Bogarde,Lamare,Bogarde,2,DEF,2,0.5,4.0,40
45,Sousa,Lino,da Cruz Sousa,2,DEF,2,0.2,4.0,40
46,Yasin,Yasin,Özcan,2,DEF,2,0.1,4.0,40
