player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,bps,value,was_home,transfers_in,transfers_out,opponent_team_id
11,11,0,0,0,0,0,0,0,0,5.3,0,650,2631,17
483,11,0,0,0,0,0,0,0,0,3.9,0,93,805,5
369,11,0,0,0,0,0,0,0,0,3.9,0,818,784,13
153,11,0,0,0,0,0,0,0,0,4.4,0,26,47,8
225,11,1,13,0,0,0,0,0,2,5.5,1,145013,18689,20
70,11,0,0,0,0,0,0,0,0,4.0,0,0,207,2
525,11,0,0,0,0,0,0,0,0,7.2,1,330,78106,11
417,11,1,52,0,0,0,0,0,2,6.3,1,128420,5918,12
32,11,14,90,0,0,1,3,2,36,5.0,1,8671,7714,4
335,11,1,45,0,0,0,0,0,11,4.5,0,30568,29730,9
146,11,6,90,0,0,1,0,0,24,4.5,0,2456,8301,8
514,11,0,0,0,0,0,0,0,0,3.9,1,397,1991,11
751,11,0,0,0,0,0,0,0,0,4.5,1,0,0,14
500,11,0,0,0,0,0,0,0,0,5.5,0,995,3881,5
208,11,0,0,0,0,0,0,0,0,5.0,0,0,25,19
512,11,0,0,0,0,0,0,0,0,4.5,1,0,61,11
485,11,0,0,0,0,0,0,0,0,7.4,0,8024,134852,5
122,11,0,0,0,0,0,0,0,0,5.3,1,19,214,15
26,11,5,90,0,1,0,0,1,27,5.4,0,2505,107754,17
200,11,2,80,0,0,0,0,0,8,5.7,0,22025,96384,19
388,11,0,16,0,0,0,0,0,-2,5.4,0,119,715,13
101,11,2,90,0,0,0,0,0,4,4.5,1,10419,27468,15
735,11,2,63,0,0,0,0,0,6,5.5,1,831,844,1
426,11,0,0,0,0,0,0,0,0,5.1,1,288,742,11
565,11,1,90,0,0,0,0,0,-1,5.1,1,16029,55506,14
723,11,10,90,0,0,1,0,2,31,4.5,1,57,95,6
286,11,0,0,0,0,0,0,0,0,4.5,1,1712,2209,6
534,11,0,0,0,0,0,0,0,0,3.9,1,679,1975,1
438,11,1,57,0,0,0,0,0,5,4.9,0,479,885,18
569,11,1,87,0,0,0,0,0,7,5.0,1,4548,31853,14
185,11,0,0,0,0,0,0,0,0,4.0,0,244,493,19
