player_id,gameweek,opponent_team_id,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value
1,1,14,Man Utd,False,10,90,0,0,1,7,3,5.5
1,2,11,Leeds,True,6,90,0,0,1,1,0,5.5
1,3,12,Liverpool,False,2,90,0,0,0,2,0,5.5
1,4,16,Nott'm Forest,True,6,90,0,0,1,1,0,5.5
1,5,13,Man City,True,2,90,0,0,0,2,0,5.5
1,6,15,Newcastle,False,2,90,0,0,0,2,0,5.6
1,7,19,West Ham,True,6,90,0,0,1,0,0,5.6
1,8,10,Fulham,False,6,90,0,0,1,0,0,5.7
1,9,8,Crystal Palace,True,6,90,0,0,1,1,0,5.7
1,10,3,Burnley,False,6,90,0,0,1,0,0,5.8
1,11,17,Sunderland,False,1,90,0,0,0,0,0,5.9
1,12,18,Spurs,True,2,90,0,0,0,1,0,5.9
1,13,7,Chelsea,False,3,90,0,0,0,3,0,5.9
1,14,5,Brentford,True,6,90,0,0,1,1,0,5.9
1,15,2,Aston Villa,False,2,90,0,0,0,4,0,5.9
1,16,20,Wolves,True,2,90,0,0,0,1,0,6.0
1,17,9,Everton,False,7,90,0,0,1,1,1,6.0
1,18,6,Brighton,True,2,90,0,0,0,2,0,6.0
1,19,2,Aston Villa,True,2,90,0,0,0,2,0,6.0
1,20,4,Bournemouth,False,1,90,0,0,0,1,0,6.0
1,21,12,Liverpool,True,6,90,0,0,1,0,0,6.0
1,22,16,Nott'm Forest,False,6,90,0,0,1,0,0,5.9
1,23,14,Man Utd,True,1,90,0,0,0,0,0,5.9
1,24,11,Leeds,False,6,90,0,0,1,1,0,5.9
1,25,17,Sunderland,True,7,90,0,0,1,2,1,5.9
1,26,5,Brentford,False,2,90,0,0,0,2,0,5.9
1,26,20,Wolves,False,1,90,0,0,0,0,0,5.9
1,27,18,Spurs,False,3,90,0,0,0,4,0,6.0
1,28,7,Chelsea,True,3,90,0,0,0,4,0,6.0
1,29,6,Brighton,False,7,90,0,0,1,2,1,6.0
1,30,9,Everton,True,7,90,0,0,1,3,0,6.0
1,32,4,Bournemouth,True,1,90,0,0,0,1,0,6.0
1,33,13,Man City,False,1,90,0,0,0,2,0,6.0
1,34,15,Newcastle,True,10,90,0,0,1,3,3,6.0
1,35,10,Fulham,True,6,90,0,0,1,1,0,6.0
1,36,19,West Ham,False,9,90,0,0,1,3,2,6.1
1,37,3,Burnley,True,6,90,0,0,1,0,0,6.1
1,38,8,Crystal Palace,False,0,0,0,0,0,0,0,6.2
2,1,14,Man Utd,False,0,0,0,0,0,0,0,4.5
2,2,11,Leeds,True,0,0,0,0,0,0,0,4.5
2,3,12,Liverpool,False,0,0,0,0,0,0,0,4.4
2,4,16,Nott'm Forest,True,0,0,0,0,0,0,0,4.4
2,5,13,Man City,True,0,0,0,0,0,0,0,4.4
2,6,15,Newcastle,False,0,0,0,0,0,0,0,4.3
2,7,19,West Ham,True,0,0,0,0,0,0,0,4.3
2,8,10,Fulham,False,0,0,0,0,0,0,0,4.3
2,9,8,Crystal Palace,True,0,0,0,0,0,0,0,4.3
2,10,3,Burnley,False,0,0,0,0,0,0,0,4.2
2,11,17,Sunderland,False,0,0,0,0,0,0,0,4.2
2,12,18,Spurs,True,0,0,0,0,0,0,0,4.2
2,13,7,Chelsea,False,0,0,0,0,0,0,0,4.2
2,14,5,Brentford,True,0,0,0,0,0,0,0,4.2
2,15,2,Aston Villa,False,0,0,0,0,0,0,0,4.2
2,16,20,Wolves,True,0,0,0,0,0,0,0,4.1
2,17,9,Everton,False,0,0,0,0,0,0,0,4.1
2,18,6,Brighton,True,0,0,0,0,0,0,0,4.1
2,19,2,Aston Villa,True,0,0,0,0,0,0,0,4.1
2,20,4,Bournemouth,False,0,0,0,0,0,0,0,4.1
2,21,12,Liverpool,True,0,0,0,0,0,0,0,4.1
2,22,16,Nott'm Forest,False,0,0,0,0,0,0,0,4.1
2,23,14,Man Utd,True,0,0,0,0,0,0,0,4.1
2,24,11,Leeds,False,0,0,0,0,0,0,0,4.1
2,25,17,Sunderland,True,0,0,0,0,0,0,0,4.1
